OBJECTID,GRIDCODE,Shape_Length,Shape_Area,SUBBASIN,LU_NUM,LU_CODE,SOIL_NUM,SOIL_CODE,SLOPE_NUM,SLOPE_CODE,MEAN_SLOPE,AREA,UNIQUECOMB,HRUGIS
1,1,71534.347343970090000,737018.921000364940000,1,71,RNGE,9768,WA229,2,23-45,35.279380798339844,73.701892139522258,1_RNGE_WA229_23-45,000010035
2,2,1622.323965279385400,13493.807620775944000,1,52,RNGB,9864,WA325,2,23-45,35.896324157714844,1.349380762798577,1_RNGB_WA325_23-45,000010033
3,3,2686.974067490547900,27630.177509150551000,1,52,RNGB,9864,WA325,3,45-66,55.889781951904297,2.763017752397086,1_RNGB_WA325_45-66,000010031
4,4,3396.740802300628300,34698.362453367365000,1,71,RNGE,9864,WA325,4,66-96,73.887458801269531,3.469836247196340,1_RNGE_WA325_66-96,000010043
5,5,115235.699158635920000,1258779.482336037300000,1,71,RNGE,9768,WA229,3,45-66,55.848602294921875,125.877948301067210,1_RNGE_WA229_45-66,000010039
6,6,341854.078058400190000,6717345.946065968800000,1,42,FRSE,9768,WA229,2,23-45,35.143989562988281,671.734594966491390,1_FRSE_WA229_23-45,000010018
7,7,109811.053399748630000,2117885.234191073100000,1,42,FRSE,9768,WA229,1,0-23,14.845321655273438,211.788523532576590,1_FRSE_WA229_0-23,000010017
8,8,7097.667348089162300,89958.717471697993000,1,71,RNGE,9864,WA325,3,45-66,56.068332672119141,8.995871751990512,1_RNGE_WA325_45-66,000010041
9,9,93131.535131741315000,1176531.512076621200000,1,71,RNGE,9768,WA229,4,66-96,77.356765747070313,117.653151270675890,1_RNGE_WA229_66-96,000010037
10,10,25399.509581376798000,269233.590147330020000,1,71,RNGE,9768,WA229,1,0-23,15.440278053283691,26.923359029171600,1_RNGE_WA229_0-23,000010038
11,11,31331.131579432171000,503126.255574071780000,1,42,FRSE,9864,WA325,3,45-66,53.929687500000000,50.312625584346932,1_FRSE_WA325_45-66,000010022
12,12,435999.565668430650000,6931961.743463370000000,1,42,FRSE,9768,WA229,3,45-66,54.874137878417969,693.196174717668780,1_FRSE_WA229_45-66,000010019
13,13,1318.138221788685800,12851.245353118262000,1,52,RNGB,9864,WA325,1,0-23,16.030897140502930,1.285124535998645,1_RNGB_WA325_0-23,000010034
14,14,9936.734287328086800,167708.751858029830000,1,42,FRSE,9864,WA325,1,0-23,13.318345069885254,16.770875194782310,1_FRSE_WA325_0-23,000010023
15,15,29252.528998918366000,411239.851299135130000,1,42,FRSE,9864,WA325,2,23-45,35.983917236328125,41.123985151956624,1_FRSE_WA325_23-45,000010024
16,16,4765.576648005750000,61685.977694925161000,1,71,RNGE,9864,WA325,2,23-45,34.142208099365234,6.168597772793493,1_RNGE_WA325_23-45,000010040
17,17,557.673863064497710,5140.498141243763700,1,81,HAY,9864,WA325,3,45-66,48.710865020751953,0.514049814399458,1_HAY_WA325_45-66,000010051
18,18,3954.414665364660300,42409.109665212352000,1,71,RNGE,9864,WA325,1,0-23,13.879297256469727,4.240910968795527,1_RNGE_WA325_0-23,000010042
19,19,811.161982639227060,7710.747211862693800,1,81,HAY,9864,WA325,2,23-45,36.320877075195313,0.771074721599187,1_HAY_WA325_23-45,000010050
20,20,101.395247830078010,642.562267657683610,1,31,SWRN,9864,WA325,4,66-96,84.493431091308594,0.064256226799932,1_SWRN_WA325_66-96,000010012
21,21,8517.200817712117000,98312.026951324602000,1,31,SWRN,9768,WA229,4,66-96,79.750724792480469,9.831202700389630,1_SWRN_WA229_66-96,000010010
22,22,5779.529126304667400,52047.543680059905000,1,31,SWRN,9768,WA229,3,45-66,56.389942169189453,5.204754370794509,1_SWRN_WA229_45-66,000010011
23,23,99570.133368937299000,1057657.492560197600000,1,52,RNGB,9768,WA229,4,66-96,77.691497802734375,105.765749312688430,1_RNGB_WA229_66-96,000010028
24,24,37212.055953559931000,440797.715611388560000,1,52,RNGB,9768,WA229,1,0-23,14.582529067993164,44.079771584753502,1_RNGB_WA229_0-23,000010029
